date,isolated_today_contact_with_confirmed,isolated_today_abroad,new_contact_with_confirmed,new_from_abroad
2020-03-01,607,5699,126,1153
2020-03-02,606,6001,0,499
2020-03-03,927,6179,326,453
2020-03-04,1812,7526,887,1678
2020-03-05,2198,11963,388,4879
2020-03-06,2420,16549,232,5203
2020-03-07,2530,17570,121,1466
2020-03-08,2889,19229,408,2380
2020-03-09,3429,21373,694,3404
2020-03-10,4717,23633,2184,3764
2020-03-11,6490,26247,2128,4044
2020-03-12,8196,28661,2340,3786
2020-03-13,9469,29767,1550,3136
2020-03-14,10799,30517,1552,2255
2020-03-15,15946,34640,5373,6199
2020-03-16,18507,35741,3102,3730
2020-03-17,22125,37565,5656,4971
2020-03-18,27489,39650,6338,4007
2020-03-19,28902,41914,3756,4202
2020-03-20,31165,44598,4544,5107
2020-03-21,32321,44836,2786,1716
2020-03-22,34138,46445,3717,3615
2020-03-23,31331,46512,2704,2728
2020-03-24,28997,45823,3094,2645
2020-03-25,22774,43980,2783,2143
2020-03-26,20715,42248,2149,2836
2020-03-27,15587,39899,1524,2048
2020-03-28,14044,38060,833,601
2020-03-29,13280,36006,1696,985
2020-03-30,12770,31866,1798,378
2020-03-31,12936,28507,2204,485
2020-04-01,13353,25204,2555,181
2020-04-02,12922,22003,1320,264
2020-04-03,12079,18046,1198,433
2020-04-04,11708,16299,815,130
2020-04-05,12473,13831,1696,128
2020-04-06,11923,11863,1074,471
2020-04-07,10903,9736,710,222
2020-04-08,9535,8402,533,161
2020-04-09,7551,6750,26,75
2020-04-10,6951,4270,1199,29
2020-04-11,6545,3218,438,60
2020-04-12,7028,2975,1027,53
2020-04-13,6416,2285,700,42
2020-04-14,5907,2007,584,48
2020-04-15,5541,1888,569,35
2020-04-16,5632,1782,952,41
2020-04-17,5405,1371,580,59
2020-04-18,5410,1285,438,70
2020-04-19,5871,1219,808,44
2020-04-20,5717,1071,696,54
2020-04-21,5344,958,498,114
2020-04-22,4804,693,472,74
2020-04-23,4627,715,419,93
2020-04-24,4923,785,622,85
2020-04-25,4738,748,413,27
